Trade at 2018-04-19 23:30:00 with price 8252.03 and signal 1, total assets : 0.12118230302119598, trade_pnl : 0, net_pnl : 0
Trade at 2018-04-22 01:00:00 with price 8792.47 and signal -1, total assets : -0.11373368348143355, trade_pnl : 0, net_pnl : -65.32873856501078
Trade at 2018-04-22 07:30:00 with price 8842.38 and signal 1, total assets : 0, trade_pnl : -5.676448142558229, net_pnl : -71.00518670756901
Trade at 2018-04-22 08:00:00 with price 8852.05 and signal -1, total assets : -0.11296818251139568, trade_pnl : 0, net_pnl : -71.00518670756901
Trade at 2018-04-22 14:00:00 with price 8940.03 and signal 1, total assets : 0, trade_pnl : -9.938940697352791, net_pnl : -80.9441274049218
Trade at 2018-04-22 14:30:00 with price 8910.75 and signal 1, total assets : 0.11222399910220801, trade_pnl : 0, net_pnl : -80.9441274049218
Trade at 2018-04-22 15:00:00 with price 8910.0 and signal -1, total assets : 0, trade_pnl : -0.08416799932660979, net_pnl : -81.02829540424841
Trade at 2018-04-22 15:30:00 with price 8937.01 and signal -1, total assets : -0.11189424650973871, trade_pnl : 0, net_pnl : -81.02829540424841
Trade at 2018-04-22 16:00:00 with price 8942.0 and signal 1, total assets : 0, trade_pnl : -0.558352290083576, net_pnl : -81.58664769433199
Trade at 2018-04-22 16:30:00 with price 8973.0 and signal 1, total assets : 0.11144544745347153, trade_pnl : 0, net_pnl : -81.58664769433199
Trade at 2018-04-22 18:30:00 with price 8884.99 and signal -1, total assets : 0, trade_pnl : -9.80831383038003, net_pnl : -91.39496152471202
Trade at 2018-04-22 19:00:00 with price 8877.0 and signal 1, total assets : 0.11265067027148812, trade_pnl : 0, net_pnl : -91.39496152471202
Trade at 2018-04-22 19:30:00 with price 8933.0 and signal -1, total assets : 0, trade_pnl : 6.308437535203325, net_pnl : -85.08652398950869
Trade at 2018-04-22 20:00:00 with price 8961.9 and signal -1, total assets : -0.1115834811814459, trade_pnl : 0, net_pnl : -85.08652398950869
Trade at 2018-04-23 00:30:00 with price 8917.87 and signal 1, total assets : 0, trade_pnl : 4.913020676419023, net_pnl : -80.17350331308967
Trade at 2018-04-23 01:00:00 with price 8881.0 and signal 1, total assets : 0.11259993244004053, trade_pnl : 0, net_pnl : -80.17350331308967
Trade at 2018-04-23 01:30:00 with price 8925.0 and signal -1, total assets : 0, trade_pnl : 4.954397027361779, net_pnl : -75.21910628572789
Trade at 2018-04-23 02:00:00 with price 8898.3 and signal -1, total assets : -0.11238101659867616, trade_pnl : 0, net_pnl : -75.21910628572789
Trade at 2018-04-23 04:30:00 with price 8770.0 and signal 1, total assets : 0, trade_pnl : 14.41848442961009, net_pnl : -60.8006218561178
Trade at 2018-04-23 05:00:00 with price 8787.02 and signal 1, total assets : 0.113804224868044, trade_pnl : 0, net_pnl : -60.8006218561178
Trade at 2018-04-23 05:30:00 with price 8817.57 and signal -1, total assets : 0, trade_pnl : 3.4767190697186834, net_pnl : -57.32390278639912
Trade at 2018-04-23 06:00:00 with price 8816.99 and signal -1, total assets : -0.11341739074219206, trade_pnl : 0, net_pnl : -57.32390278639912
Trade at 2018-04-23 11:30:00 with price 8870.0 and signal 1, total assets : 0, trade_pnl : -6.012255883243597, net_pnl : -63.336158669642714
Trade at 2018-04-23 12:00:00 with price 8899.0 and signal 1, total assets : 0.1123721766490617, trade_pnl : 0, net_pnl : -63.336158669642714
Trade at 2018-04-23 16:00:00 with price 8889.0 and signal -1, total assets : 0, trade_pnl : -1.1237217664905756, net_pnl : -64.45988043613329
Trade at 2018-04-23 16:30:00 with price 8888.0 and signal -1, total assets : -0.11251125112511251, trade_pnl : 0, net_pnl : -64.45988043613329
Trade at 2018-04-24 05:30:00 with price 8974.95 and signal 1, total assets : 0, trade_pnl : -9.782853285328656, net_pnl : -74.24273372146195
Trade at 2018-04-24 06:00:00 with price 9169.97 and signal 1, total assets : 0.10905161085586977, trade_pnl : 0, net_pnl : -74.24273372146195
Trade at 2018-04-24 06:30:00 with price 9167.98 and signal -1, total assets : 0, trade_pnl : -0.2170127056031106, net_pnl : -74.45974642706506
Trade at 2018-04-24 07:00:00 with price 9186.0 and signal -1, total assets : -0.10886131069018071, trade_pnl : 0, net_pnl : -74.45974642706506
Trade at 2018-04-24 08:30:00 with price 9194.98 and signal 1, total assets : 0, trade_pnl : -0.9775745699977278, net_pnl : -75.43732099706278
Trade at 2018-04-24 09:00:00 with price 9192.47 and signal 1, total assets : 0.10878469007785721, trade_pnl : 0, net_pnl : -75.43732099706278
Trade at 2018-04-24 13:00:00 with price 9216.0 and signal -1, total assets : 0, trade_pnl : 2.55970375753202, net_pnl : -72.87761723953076
Trade at 2018-04-24 13:30:00 with price 9254.0 and signal -1, total assets : -0.1080613788631943, trade_pnl : 0, net_pnl : -72.87761723953076
Trade at 2018-04-24 18:30:00 with price 9380.01 and signal 1, total assets : 0, trade_pnl : -13.61681435055118, net_pnl : -86.49443159008194
Trade at 2018-04-24 19:00:00 with price 9259.99 and signal 1, total assets : 0.1079914773126105, trade_pnl : 0, net_pnl : -86.49443159008194
Trade at 2018-04-24 21:30:00 with price 9345.99 and signal -1, total assets : 0, trade_pnl : 9.287267048884587, net_pnl : -77.20716454119736
Trade at 2018-04-24 22:00:00 with price 9350.19 and signal -1, total assets : -0.1069496983483758, trade_pnl : 0, net_pnl : -77.20716454119736
Trade at 2018-04-25 00:30:00 with price 9383.98 and signal 1, total assets : 0, trade_pnl : -3.613830307191506, net_pnl : -80.82099484838886
Trade at 2018-04-25 01:00:00 with price 9449.9 and signal -1, total assets : -0.10582122562143516, trade_pnl : 0, net_pnl : -80.82099484838886
Trade at 2018-04-25 02:00:00 with price 9450.79 and signal 1, total assets : 0, trade_pnl : -0.09418089080327263, net_pnl : -80.91517573919214
Trade at 2018-04-25 02:30:00 with price 9466.89 and signal 1, total assets : 0.10563131081062525, trade_pnl : 0, net_pnl : -80.91517573919214
Trade at 2018-04-25 04:30:00 with price 9635.05 and signal -1, total assets : 0, trade_pnl : 17.76296122591475, net_pnl : -63.152214513277386
Trade at 2018-04-25 05:00:00 with price 9619.99 and signal 1, total assets : 0.10395021200645739, trade_pnl : 0, net_pnl : -63.152214513277386
Trade at 2018-04-25 11:30:00 with price 9441.1 and signal -1, total assets : 0, trade_pnl : -18.595653425835053, net_pnl : -81.74786793911244
Trade at 2018-04-25 12:00:00 with price 9415.06 and signal -1, total assets : -0.10621281223911479, trade_pnl : 0, net_pnl : -81.74786793911244
Trade at 2018-04-25 14:00:00 with price 9281.98 and signal 1, total assets : 0, trade_pnl : 14.134801052781427, net_pnl : -67.61306688633101
Trade at 2018-04-25 14:30:00 with price 9309.84 and signal -1, total assets : -0.10741323159152037, trade_pnl : 0, net_pnl : -67.61306688633101
Trade at 2018-04-25 15:00:00 with price 9272.0 and signal 1, total assets : 0, trade_pnl : 4.064516683423108, net_pnl : -63.548550202907904
Trade at 2018-04-25 15:30:00 with price 9090.0 and signal 1, total assets : 0.11001100110011001, trade_pnl : 0, net_pnl : -63.548550202907904
Trade at 2018-04-25 18:00:00 with price 9129.89 and signal -1, total assets : 0, trade_pnl : 4.388338833883381, net_pnl : -59.16021136902452
Trade at 2018-04-25 18:30:00 with price 9051.76 and signal 1, total assets : 0.11047575278177946, trade_pnl : 0, net_pnl : -59.16021136902452
Trade at 2018-04-25 22:00:00 with price 8910.0 and signal -1, total assets : 0, trade_pnl : -15.661042714345058, net_pnl : -74.82125408336958
Trade at 2018-04-25 22:30:00 with price 9028.94 and signal -1, total assets : -0.1107549723444834, trade_pnl : 0, net_pnl : -74.82125408336958
Trade at 2018-04-25 23:30:00 with price 9017.02 and signal 1, total assets : 0, trade_pnl : 1.3201992703462793, net_pnl : -73.5010548130233
Trade at 2018-04-26 00:00:00 with price 8991.03 and signal -1, total assets : -0.11122196233357023, trade_pnl : 0, net_pnl : -73.5010548130233
Trade at 2018-04-26 01:00:00 with price 8969.98 and signal 1, total assets : 0, trade_pnl : 2.3412223071217113, net_pnl : -71.15983250590159
Trade at 2018-04-26 01:30:00 with price 9068.85 and signal 1, total assets : 0.11026756424463961, trade_pnl : 0, net_pnl : -71.15983250590159
Trade at 2018-04-26 03:00:00 with price 9178.98 and signal -1, total assets : 0, trade_pnl : 12.143766850262068, net_pnl : -59.01606565563952
Trade at 2018-04-26 03:30:00 with price 9099.82 and signal 1, total assets : 0.10989228358363133, trade_pnl : 0, net_pnl : -59.01606565563952
Trade at 2018-04-26 07:30:00 with price 8842.25 and signal -1, total assets : 0, trade_pnl : -28.30495548263582, net_pnl : -87.32102113827534
Trade at 2018-04-26 08:00:00 with price 8850.15 and signal -1, total assets : -0.11299243515646627, trade_pnl : 0, net_pnl : -87.32102113827534
Trade at 2018-04-26 12:00:00 with price 8841.0 and signal 1, total assets : 0, trade_pnl : 1.0338807816816598, net_pnl : -86.28714035659368
Trade at 2018-04-26 12:30:00 with price 8825.33 and signal 1, total assets : 0.11331021049637804, trade_pnl : 0, net_pnl : -86.28714035659368
Trade at 2018-04-26 15:30:00 with price 8848.39 and signal -1, total assets : 0, trade_pnl : 2.6129334540464697, net_pnl : -83.67420690254721
Trade at 2018-04-26 16:00:00 with price 8845.02 and signal -1, total assets : -0.11305796934320103, trade_pnl : 0, net_pnl : -83.67420690254721
Trade at 2018-04-26 19:30:00 with price 8769.49 and signal 1, total assets : 0, trade_pnl : 8.53926842449198, net_pnl : -75.13493847805523
Trade at 2018-04-26 20:00:00 with price 8829.99 and signal 1, total assets : 0.11325041138211935, trade_pnl : 0, net_pnl : -75.13493847805523
Trade at 2018-04-26 22:00:00 with price 8900.51 and signal -1, total assets : 0, trade_pnl : 7.986419010667078, net_pnl : -67.14851946738816
Trade at 2018-04-26 22:30:00 with price 8871.87 and signal -1, total assets : -0.1127158085048586, trade_pnl : 0, net_pnl : -67.14851946738816
Trade at 2018-04-27 04:00:00 with price 9221.0 and signal 1, total assets : 0, trade_pnl : -39.352470223301225, net_pnl : -106.50098969068938
Trade at 2018-04-27 04:30:00 with price 9237.0 and signal 1, total assets : 0.10826025765941323, trade_pnl : 0, net_pnl : -106.50098969068938
Trade at 2018-04-27 05:30:00 with price 9247.67 and signal -1, total assets : 0, trade_pnl : 1.1551369492259482, net_pnl : -105.34585274146343
Trade at 2018-04-27 06:00:00 with price 9210.32 and signal 1, total assets : 0.1085738606259066, trade_pnl : 0, net_pnl : -105.34585274146343
Trade at 2018-04-27 08:30:00 with price 9227.03 and signal -1, total assets : 0, trade_pnl : 1.8142692110590133, net_pnl : -103.53158353040442
Trade at 2018-04-27 09:00:00 with price 9143.01 and signal 1, total assets : 0.10937317141729036, trade_pnl : 0, net_pnl : -103.53158353040442
Trade at 2018-04-27 09:30:00 with price 9209.35 and signal -1, total assets : 0, trade_pnl : 7.255816191822987, net_pnl : -96.27576733858143
Trade at 2018-04-27 10:00:00 with price 9204.99 and signal 1, total assets : 0.10863672855701093, trade_pnl : 0, net_pnl : -96.27576733858143
Trade at 2018-04-27 10:30:00 with price 9213.0 and signal -1, total assets : 0, trade_pnl : 0.8701801957416819, net_pnl : -95.40558714283975
Trade at 2018-04-27 11:00:00 with price 9180.82 and signal -1, total assets : -0.1089227323920957, trade_pnl : 0, net_pnl : -95.40558714283975
Trade at 2018-04-27 16:00:00 with price 9365.0 and signal 1, total assets : 0, trade_pnl : -20.061388851976176, net_pnl : -115.46697599481593
Trade at 2018-04-27 16:30:00 with price 9345.52 and signal -1, total assets : -0.10700314161223773, trade_pnl : 0, net_pnl : -115.46697599481593
Trade at 2018-04-27 17:30:00 with price 9349.9 and signal 1, total assets : 0, trade_pnl : -0.4686737602614812, net_pnl : -115.9356497550774
Trade at 2018-04-27 18:00:00 with price 9290.07 and signal 1, total assets : 0.1076418154007451, trade_pnl : 0, net_pnl : -115.9356497550774
Trade at 2018-04-27 21:00:00 with price 9241.21 and signal -1, total assets : 0, trade_pnl : -5.259379100480373, net_pnl : -121.19502885555778
Trade at 2018-04-27 21:30:00 with price 9297.0 and signal -1, total assets : -0.10756157900397978, trade_pnl : 0, net_pnl : -121.19502885555778
Trade at 2018-04-28 01:00:00 with price 9089.0 and signal 1, total assets : 0, trade_pnl : 22.37280843282781, net_pnl : -98.82222042272997
Trade at 2018-04-28 01:30:00 with price 9090.55 and signal 1, total assets : 0.1100043451716343, trade_pnl : 0, net_pnl : -98.82222042272997
Trade at 2018-04-28 03:30:00 with price 9071.0 and signal -1, total assets : 0, trade_pnl : -2.1505849481053474, net_pnl : -100.97280537083532
Trade at 2018-04-28 04:00:00 with price 9031.0 and signal -1, total assets : -0.11072970878086591, trade_pnl : 0, net_pnl : -100.97280537083532
Trade at 2018-04-28 09:30:00 with price 9160.95 and signal 1, total assets : 0, trade_pnl : -14.389325656073652, net_pnl : -115.36213102690897
Trade at 2018-04-28 10:00:00 with price 9138.53 and signal 1, total assets : 0.10942678964778799, trade_pnl : 0, net_pnl : -115.36213102690897
Trade at 2018-04-28 10:30:00 with price 9157.1 and signal -1, total assets : 0, trade_pnl : 2.03205548375945, net_pnl : -113.33007554314952
Trade at 2018-04-28 11:00:00 with price 9164.49 and signal -1, total assets : -0.10911681937565539, trade_pnl : 0, net_pnl : -113.33007554314952
Trade at 2018-04-28 11:30:00 with price 9184.0 and signal 1, total assets : 0, trade_pnl : -2.128869146019042, net_pnl : -115.45894468916856
Trade at 2018-04-28 12:00:00 with price 9163.03 and signal 1, total assets : 0.10913420560666066, trade_pnl : 0, net_pnl : -115.45894468916856
Trade at 2018-04-28 14:30:00 with price 9276.13 and signal -1, total assets : 0, trade_pnl : 12.343078654113128, net_pnl : -103.11586603505543
Trade at 2018-04-28 15:00:00 with price 9273.0 and signal -1, total assets : -0.10783996549121104, trade_pnl : 0, net_pnl : -103.11586603505543
Trade at 2018-04-28 17:00:00 with price 9218.57 and signal 1, total assets : 0, trade_pnl : 5.869729321686691, net_pnl : -97.24613671336874
Trade at 2018-04-28 17:30:00 with price 9364.98 and signal -1, total assets : -0.10678079397927172, trade_pnl : 0, net_pnl : -97.24613671336874
Trade at 2018-04-28 18:00:00 with price 9378.07 and signal 1, total assets : 0, trade_pnl : -1.39776059318865, net_pnl : -98.64389730655739
Trade at 2018-04-28 18:30:00 with price 9375.01 and signal -1, total assets : -0.10666655288901025, trade_pnl : 0, net_pnl : -98.64389730655739
Trade at 2018-04-28 20:00:00 with price 9311.02 and signal 1, total assets : 0, trade_pnl : 6.825592719367705, net_pnl : -91.81830458718969
Trade at 2018-04-28 20:30:00 with price 9270.0 and signal 1, total assets : 0.10787486515641856, trade_pnl : 0, net_pnl : -91.81830458718969
Trade at 2018-04-28 21:00:00 with price 9360.0 and signal -1, total assets : 0, trade_pnl : 9.708737864077762, net_pnl : -82.10956672311193
Trade at 2018-04-28 21:30:00 with price 9370.01 and signal 1, total assets : 0.10672347201337032, trade_pnl : 0, net_pnl : -82.10956672311193
Trade at 2018-04-28 22:30:00 with price 9334.0 and signal -1, total assets : 0, trade_pnl : -3.843112227201459, net_pnl : -85.95267895031338
Trade at 2018-04-28 23:00:00 with price 9290.0 and signal -1, total assets : -0.10764262648008611, trade_pnl : 0, net_pnl : -85.95267895031338
Trade at 2018-04-29 03:00:00 with price 9300.0 and signal 1, total assets : 0, trade_pnl : -1.0764262648008298, net_pnl : -87.02910521511421
Trade at 2018-04-29 03:30:00 with price 9341.77 and signal 1, total assets : 0.10704609511901919, trade_pnl : 0, net_pnl : -87.02910521511421
Trade at 2018-04-29 04:00:00 with price 9359.01 and signal -1, total assets : 0, trade_pnl : 1.8454746798518045, net_pnl : -85.18363053526241
Trade at 2018-04-29 04:30:00 with price 9356.89 and signal -1, total assets : -0.10687311702926934, trade_pnl : 0, net_pnl : -85.18363053526241
Trade at 2018-04-29 09:00:00 with price 9484.26 and signal 1, total assets : 0, trade_pnl : -13.612428916018075, net_pnl : -98.79605945128048
Trade at 2018-04-29 09:30:00 with price 9490.0 and signal 1, total assets : 0.1053740779768177, trade_pnl : 0, net_pnl : -98.79605945128048
Trade at 2018-04-29 12:30:00 with price 9466.11 and signal -1, total assets : 0, trade_pnl : -2.5173867228660356, net_pnl : -101.31344617414652
Trade at 2018-04-29 13:00:00 with price 9443.2 and signal -1, total assets : -0.10589630633683496, trade_pnl : 0, net_pnl : -101.31344617414652
Trade at 2018-04-29 14:00:00 with price 9285.47 and signal 1, total assets : 0, trade_pnl : 16.703024398509115, net_pnl : -84.6104217756374
Trade at 2018-04-29 14:30:00 with price 9306.15 and signal 1, total assets : 0.10745582222508772, trade_pnl : 0, net_pnl : -84.6104217756374
Trade at 2018-04-29 15:30:00 with price 9268.7 and signal -1, total assets : 0, trade_pnl : -4.024220542329431, net_pnl : -88.63464231796684
Trade at 2018-04-29 16:00:00 with price 9210.03 and signal 1, total assets : 0.10857727933568076, trade_pnl : 0, net_pnl : -88.63464231796684
Trade at 2018-04-29 16:30:00 with price 9230.1 and signal -1, total assets : 0, trade_pnl : 2.1791459962670388, net_pnl : -86.4554963216998
Trade at 2018-04-29 17:00:00 with price 9265.0 and signal -1, total assets : -0.10793308148947653, trade_pnl : 0, net_pnl : -86.4554963216998
Trade at 2018-04-29 22:00:00 with price 9307.0 and signal 1, total assets : 0, trade_pnl : -4.533189422558053, net_pnl : -90.98868574425785
Trade at 2018-04-29 22:30:00 with price 9279.55 and signal 1, total assets : 0.1077638463072024, trade_pnl : 0, net_pnl : -90.98868574425785
Trade at 2018-04-30 00:00:00 with price 9344.0 and signal -1, total assets : 0, trade_pnl : 6.945379894499183, net_pnl : -84.04330584975867
Trade at 2018-04-30 00:30:00 with price 9334.0 and signal -1, total assets : -0.10713520462824085, trade_pnl : 0, net_pnl : -84.04330584975867
Trade at 2018-04-30 05:30:00 with price 9381.96 and signal 1, total assets : 0, trade_pnl : -5.138204413970357, net_pnl : -89.18151026372902
Trade at 2018-04-30 06:00:00 with price 9420.0 and signal -1, total assets : -0.10615711252653928, trade_pnl : 0, net_pnl : -89.18151026372902
Trade at 2018-04-30 06:30:00 with price 9424.89 and signal 1, total assets : 0, trade_pnl : -0.5191082802547271, net_pnl : -89.70061854398375
Trade at 2018-04-30 07:00:00 with price 9415.0 and signal 1, total assets : 0.10621348911311737, trade_pnl : 0, net_pnl : -89.70061854398375
Trade at 2018-04-30 07:30:00 with price 9429.99 and signal -1, total assets : 0, trade_pnl : 1.5921402018057051, net_pnl : -88.10847834217805
Trade at 2018-04-30 08:00:00 with price 9445.01 and signal -1, total assets : -0.1058760128364078, trade_pnl : 0, net_pnl : -88.10847834217805
Trade at 2018-04-30 08:30:00 with price 9370.0 and signal 1, total assets : 0, trade_pnl : 7.941759722858933, net_pnl : -80.16671861931911
Trade at 2018-04-30 09:00:00 with price 9269.85 and signal 1, total assets : 0.107876610732644, trade_pnl : 0, net_pnl : -80.16671861931911
Trade at 2018-04-30 11:00:00 with price 9350.8 and signal -1, total assets : 0, trade_pnl : 8.732611638807384, net_pnl : -71.43410698051173
Trade at 2018-04-30 11:30:00 with price 9301.29 and signal -1, total assets : -0.1075119687699233, trade_pnl : 0, net_pnl : -71.43410698051173
Trade at 2018-04-30 12:30:00 with price 9238.51 and signal 1, total assets : 0, trade_pnl : 6.74960139937582, net_pnl : -64.68450558113591
Trade at 2018-04-30 13:00:00 with price 9222.01 and signal -1, total assets : -0.10843623027951607, trade_pnl : 0, net_pnl : -64.68450558113591
Trade at 2018-04-30 13:30:00 with price 9154.99 and signal 1, total assets : 0, trade_pnl : 7.267396153333152, net_pnl : -57.41710942780276
Trade at 2018-04-30 14:00:00 with price 9195.01 and signal -1, total assets : -0.10875463974481811, trade_pnl : 0, net_pnl : -57.41710942780276
Trade at 2018-04-30 20:00:00 with price 9273.11 and signal 1, total assets : 0, trade_pnl : -8.493737364070284, net_pnl : -65.91084679187304
Trade at 2018-04-30 20:30:00 with price 9283.77 and signal 1, total assets : 0.10771486152715976, trade_pnl : 0, net_pnl : -65.91084679187304
Trade at 2018-04-30 22:30:00 with price 9330.66 and signal -1, total assets : 0, trade_pnl : 5.050749857008441, net_pnl : -60.8600969348646
Trade at 2018-04-30 23:00:00 with price 9340.0 and signal -1, total assets : -0.10706638115631692, trade_pnl : 0, net_pnl : -60.8600969348646
Trade at 2018-05-01 02:00:00 with price 9281.0 and signal 1, total assets : 0, trade_pnl : 6.31691648822266, net_pnl : -54.54318044664194
Trade at 2018-05-01 02:30:00 with price 9230.0 and signal 1, total assets : 0.10834236186348863, trade_pnl : 0, net_pnl : -54.54318044664194
Trade at 2018-05-01 03:30:00 with price 9253.14 and signal -1, total assets : 0, trade_pnl : 2.5070422535210355, net_pnl : -52.036138193120905
Trade at 2018-05-01 04:00:00 with price 9186.02 and signal 1, total assets : 0.10886107367499744, trade_pnl : 0, net_pnl : -52.036138193120905
Trade at 2018-05-01 04:30:00 with price 9218.49 and signal -1, total assets : 0, trade_pnl : 3.5347190622270546, net_pnl : -48.50141913089385
Trade at 2018-05-01 05:00:00 with price 9246.01 and signal -1, total assets : -0.10815476081033873, trade_pnl : 0, net_pnl : -48.50141913089385
Trade at 2018-05-01 05:30:00 with price 9110.0 and signal 1, total assets : 0, trade_pnl : 14.71012901781421, net_pnl : -33.79129011307964
Trade at 2018-05-01 06:00:00 with price 8955.01 and signal 1, total assets : 0.1116693337025866, trade_pnl : 0, net_pnl : -33.79129011307964
Trade at 2018-05-01 08:00:00 with price 9009.11 and signal -1, total assets : 0, trade_pnl : 6.041310953310017, net_pnl : -27.749979159769623
Trade at 2018-05-01 08:30:00 with price 8979.99 and signal -1, total assets : -0.11135869861770448, trade_pnl : 0, net_pnl : -27.749979159769623
Trade at 2018-05-01 16:00:00 with price 9039.0 and signal 1, total assets : 0, trade_pnl : -6.571276805430784, net_pnl : -34.32125596520041
Trade at 2018-05-01 16:30:00 with price 9035.04 and signal 1, total assets : 0.11068019621385183, trade_pnl : 0, net_pnl : -34.32125596520041
Trade at 2018-05-01 19:30:00 with price 8911.01 and signal -1, total assets : 0, trade_pnl : -13.727664736404108, net_pnl : -48.048920701604516
Trade at 2018-05-01 20:00:00 with price 8915.0 and signal -1, total assets : -0.11217049915872125, trade_pnl : 0, net_pnl : -48.048920701604516
